pair,source,side,claim_index,name,type,name_prompt_index,type_prompt_index
pair_20f6251a,olympiads,a,4,h3,Real.sqrt (4 * (exp t)^2) = 2 * exp t,546,547
pair_20f6251a,olympiads,a,5,h4,Real.sqrt (4 * (exp t)^2) = Real.sqrt (4) * Real.sqrt ((exp t)^2),548,549
pair_20f6251a,olympiads,a,6,h5,Real.sqrt (4 : ℝ) = 2,550,551
pair_20f6251a,olympiads,a,7,h6,Real.sqrt ((exp t)^2) = exp t,552,553
pair_22ff4e26,number_theory,h,0,h1,n^7-n ≡ 0 [ZMOD 2],554,555
pair_22ff4e26,number_theory,h,1,h2,n^7-n ≡ 0 [ZMOD 3],556,557
pair_22ff4e26,number_theory,h,2,h3,n^7-n ≡ 0 [ZMOD 7],558,559
pair_22ff4e26,number_theory,h,3,hp,Nat.Prime p,560,561
pair_22ff4e26,number_theory,h,4,hncp,IsCoprime n ↑p,562,563
pair_22ff4e26,number_theory,h,5,h12,n^7-n ≡ 0 [ZMOD 2*3],564,565
pair_22ff4e26,number_theory,a,0,h1,n^7 % 2 = n % 2,566,567
pair_22ff4e26,number_theory,a,1,h2,n % 2 = 0 ∨ n % 2 = 1,568,569
pair_22ff4e26,number_theory,a,2,h3,n^7 % 3 = n % 3,570,571
pair_22ff4e26,number_theory,a,3,h4,n % 3 = 0 ∨ n % 3 = 1 ∨ n % 3 = 2,572,573
pair_22ff4e26,number_theory,a,4,h7,n^7 % 7 = n % 7,574,575
pair_22ff4e26,number_theory,a,5,h8,n % 7 = 0 ∨ n % 7 = 1 ∨ n % 7 = 2 ∨ n % 7 = 3 ∨ n % 7 = 4 ∨ n % 7 = 5 ∨ n % 7 = 6,576,577
pair_249837f1,amc_aime,h,0,eq1,120 * a = 512 + 53 * b + 7 * c,578,579
pair_249837f1,amc_aime,h,1,eq2,88 = 53 * b + 7 * c,580,581
pair_249837f1,amc_aime,h,2,digitc,c = 5,582,583
pair_249837f1,amc_aime,a,0,h2,a < 8,584,585
pair_249837f1,amc_aime,a,1,h3,b < 8,586,587
pair_249837f1,amc_aime,a,2,h4,c < 8,588,589
pair_24b3bf51,cn_k12,h,0,mn,2 * m - 2 * n = 2 * (m - n),590,591
pair_24b3bf51,cn_k12,h,1,foo,m + n = 2,592,593
pair_24b3bf51,cn_k12,h,2,mnneq0,m - n ≠ 0,594,595
pair_24b3bf51,cn_k12,a,0,eq1,m ^ 2 - 2 * m + 3 = n ^ 2 - 2 * n + 3,596,597
pair_24b3bf51,cn_k12,a,1,eq2,m ^ 2 - 2 * m = n ^ 2 - 2 * n,598,599
pair_24b3bf51,cn_k12,a,2,eq3,(m - n) * (m + n - 2) = 0,600,601
pair_24b3bf51,cn_k12,a,3,eq4,m + n - 2 = 0,602,603
pair_24b3bf51,cn_k12,a,4,eq5,m + n = 2,604,605
pair_24b3bf51,cn_k12,a,5,eq6,f_9438 (m + n) = 3,606,607
pair_24cf7f4e,math_train,h,0,h₁,Real.sqrt (6 + 4 * Real.sqrt 2) = 2 + Real.sqrt 2,608,609
pair_24cf7f4e,math_train,h,1,h₂,Real.sqrt (6 - 4 * Real.sqrt 2) = 2 - Real.sqrt 2,610,611
pair_24cf7f4e,math_train,a,0,h1,Real.sqrt (6 + 4 * Real.sqrt 2) = 2 + Real.sqrt 2,612,613
pair_24cf7f4e,math_train,a,1,h2,(2 + Real.sqrt 2) ^ 2 = 6 + 4 * Real.sqrt 2,614,615
pair_24cf7f4e,math_train,a,2,h3,2 + Real.sqrt 2 ≥ 0,616,617
pair_24cf7f4e,math_train,a,3,h4,Real.sqrt (6 - 4 * Real.sqrt 2) = 2 - Real.sqrt 2,618,619
pair_24cf7f4e,math_train,a,4,h5,(2 - Real.sqrt 2) ^ 2 = 6 - 4 * Real.sqrt 2,620,621
pair_24cf7f4e,math_train,a,5,h6,2 - Real.sqrt 2 ≥ 0,622,623
pair_2590c3a7,olympiads,h,0,o,a.gcd (192 - a) = a.gcd 192,624,625
pair_2590c3a7,olympiads,h,1,d,24 ∣ a,626,627
pair_2590c3a7,olympiads,h,2,lk,k ≤ 8,628,629
pair_2590c3a7,olympiads,a,0,o,a.gcd (192 - a) = a.gcd 192,630,631
pair_2590c3a7,olympiads,a,1,d,24 ∣ a,632,633
pair_2590c3a7,olympiads,a,2,h4,k ≤ 8,634,635
pair_26771bf6,olympiads_ref,h,0,h1,2 * v₂ * t + v₂ * t = 3 * v₂ * t,636,637
pair_26771bf6,olympiads_ref,h,1,h2,v₂ * t = 4/3,638,639
pair_26771bf6,olympiads_ref,a,0,h₁₁,2 * v₂ * t + v₂ * t = 4,640,641
pair_26771bf6,olympiads_ref,a,1,h₂₂,3 * (v₂ * t) = 4,642,643
pair_26771bf6,olympiads_ref,a,2,h₃₃,v₂ * t = 4 / 3,644,645
pair_26771bf6,olympiads_ref,a,3,h₁₁₁,v₁ * t = 2 * (v₂ * t),646,647
pair_2748f3f1,olympiads,h,0,h1,(a - b) ^ 2 + (d - c) ^ 2 + (b - c) ^ 2 = 0,648,649
pair_2748f3f1,olympiads,h,1,h2,(a - b) ^ 2 = 0,650,651
pair_2748f3f1,olympiads,h,2,h3,(d - c) ^ 2 = 0,652,653
pair_2748f3f1,olympiads,h,3,h4,(b - c) ^ 2 = 0,654,655
pair_2748f3f1,olympiads,h,4,h5,a - b = 0,656,657
pair_2748f3f1,olympiads,h,5,h6,d - c = 0,658,659
pair_2748f3f1,olympiads,h,6,h7,b - c = 0,660,661
pair_2748f3f1,olympiads,a,0,h1,(a - b) ^ 2 + (b - c) ^ 2 + (c - d) ^ 2 = 0,662,663
pair_2748f3f1,olympiads,a,1,h2,(a - b) ^ 2 = 0,664,665
pair_2748f3f1,olympiads,a,2,h3,a - b = 0,666,667
pair_2748f3f1,olympiads,a,3,h4,(b - c) ^ 2 = 0,668,669
pair_2748f3f1,olympiads,a,4,h5,b - c = 0,670,671
pair_2748f3f1,olympiads,a,5,h6,(c - d) ^ 2 = 0,672,673
pair_2748f3f1,olympiads,a,6,h7,c - d = 0,674,675
pair_28470d46,olympiads_ref,h,0,sqrt28561,Real.sqrt 28561 = 169,676,677
pair_28470d46,olympiads_ref,h,1,sqrt230400,Real.sqrt 230400 = 480,678,679
pair_28470d46,olympiads_ref,h,2,eq1,-13 / 96 / √((-13 / 96) ^ 2 + (13 / 40) ^ 2) - 96 / -13 = 7,680,681
pair_28470d46,olympiads_ref,h,3,eq2,13 / 40 / √((-13 / 96) ^ 2 + (13 / 40) ^ 2) + 40 / 13 = 4,682,683
pair_28470d46,olympiads_ref,a,0,h1,Real.sqrt ((-(13 : ℝ) / 96) ^ 2 + ((13 : ℝ) / 40) ^ 2) = 169 / 480,684,685
pair_28470d46,olympiads_ref,a,1,h2,(-(13 : ℝ) / 96) / Real.sqrt ((-(13 : ℝ) / 96) ^ 2 + ((13 : ℝ) / 40) ^ 2) - 1 / (-(13 : ℝ) / 96) = (7 : ℝ),686,687
pair_28470d46,olympiads_ref,a,2,h3,((13 : ℝ) / 40) / Real.sqrt ((-(13 : ℝ) / 96) ^ 2 + ((13 : ℝ) / 40) ^ 2) + 1 / ((13 : ℝ) / 40) = (4 : ℝ),688,689
pair_28470d46,olympiads_ref,a,3,h4,(-(13 : ℝ) / 96) = x ∧ ((13 : ℝ) / 40) = y,690,691
pair_2b09aabd,olympiads,h,0,h1,2 ^ (n + 1) = 2 * 2 ^ n,692,693
pair_2b09aabd,olympiads,h,1,h2,2 ^ n + 2 * 2 ^ n = 3 * 2 ^ n,694,695
pair_2b09aabd,olympiads,a,0,eq1,2^n + 2^(n + 1) = 3 * (2^n),696,697
pair_2b09aabd,olympiads,a,1,h1,n > 0,698,699
pair_2b09aabd,olympiads,a,2,h2,n ≥ 1,700,701
pair_2b09aabd,olympiads,a,3,h3,3 * (2 ^ n) = 6 * (2 ^ (n - 1)),702,703
pair_2b873165,math_test,h,0,eq1,x^2 - 7 * x - 30 = 0,704,705
pair_2b873165,math_test,h,1,eq2,y^2 - 7 * y - 30 = 0,706,707
pair_2b873165,math_test,h,2,h1,(x - 10) * (x + 3) = 0,708,709
pair_2b873165,math_test,h,3,h2,(y - 10) * (y + 3) = 0,710,711
pair_2b873165,math_test,h,4,hx_eq_10_or_neg3,x = 10 ∨ x = -3,712,713
pair_2b873165,math_test,h,5,hy_eq_10_or_neg3,y = 10 ∨ y = -3,714,715
pair_2b873165,math_test,a,0,h1,x^2 - 7 * x - 30 = 0,716,717
pair_2b873165,math_test,a,1,h2,y^2 - 7 * y - 30 = 0,718,719
pair_2b873165,math_test,a,2,h3,(x - 10) * (x + 3) = 0,720,721
pair_2b873165,math_test,a,3,h4,(y - 10) * (y + 3) = 0,722,723
pair_2b873165,math_test,a,4,h5,x = 10 ∨ x = -3,724,725
pair_2b873165,math_test,a,5,h6,y = 10 ∨ y = -3,726,727
pair_2bf91739,olympiads,h,0,h1,x^2 - y^2 - 2000 * (x - y) = 0,728,729
pair_2bf91739,olympiads,h,1,h2,(x - y) * (x + y - 2000) = 0,730,731
pair_2bf91739,olympiads,h,2,h3,x - y ≠ 0,732,733
pair_2bf91739,olympiads,h,3,h4,x + y - 2000 = 0,734,735
pair_2bf91739,olympiads,a,0,h1,x^2 - 2000 * x - (y^2 - 2000 * y) = 0,736,737
pair_2bf91739,olympiads,a,1,h2,(x - y) * (x + y - 2000) = 0,738,739
pair_2c4bd84d,math_test,h,0,h0,"Nat.divisors 187 = {1, 11, 17, 187}",740,741
pair_2c4bd84d,math_test,h,1,h1,2 * x + 3 ∣ 187,742,743
pair_2c4bd84d,math_test,h,2,h2,2 * x + 3 ≤ 187,744,745
pair_2c4bd84d,math_test,h,3,h3,y < 37,746,747
pair_2c4bd84d,math_test,a,0,h1,x ≤ 11,748,749
pair_2c4bd84d,math_test,a,1,h2,10 * x * y + 14 * x + 15 * y > 166,750,751
pair_2c4bd84d,math_test,a,2,h3,x ≥ 12,752,753
pair_2c4bd84d,math_test,a,3,h4,y ≥ 1,754,755
pair_32d44a7f,olympiads_ref,h,0,h1,(x - 1) ^ 2 ≥ 0,756,757
pair_32d44a7f,olympiads_ref,h,1,h2,(y + 2) ^ 2 ≥ 0,758,759
pair_32d44a7f,olympiads_ref,h,2,h3,(z - x) ^ 2 ≥ 0,760,761
pair_32d44a7f,olympiads_ref,a,0,h5,(z - x) ^ 2 + (x - 1) ^ 2 + (y + 2) ^ 2 = 0,762,763
pair_32d44a7f,olympiads_ref,a,1,hx1,z - x = 0,764,765
pair_32d44a7f,olympiads_ref,a,2,hx2,x - 1 = 0,766,767
pair_32d44a7f,olympiads_ref,a,3,hx3,y + 2 = 0,768,769
pair_32d44a7f,olympiads_ref,a,4,hx4,x = 1,770,771
pair_32d44a7f,olympiads_ref,a,5,hz1,z = 1,772,773
pair_32d44a7f,olympiads_ref,a,6,hy1,y = -2,774,775
pair_32d44a7f,olympiads_ref,a,7,ha,a = 4,776,777
pair_33135e91,olympiads,h,0,h1,(x - 2 * y) ^ 2 = 0,778,779
pair_33135e91,olympiads,h,1,h2,(y - 1) ^ 2 = 0,780,781
pair_33135e91,olympiads,h,2,h3,x - 2 * y = 0,782,783
pair_33135e91,olympiads,h,3,h4,y - 1 = 0,784,785
pair_33135e91,olympiads,a,0,h1,(x - 2 * y) ^ 2 ≥ 0,786,787
pair_33135e91,olympiads,a,1,h2,(y - 1) ^ 2 ≥ 0,788,789
pair_33135e91,olympiads,a,2,h3,(x - 2 * y) ^ 2 = 0,790,791
pair_33135e91,olympiads,a,3,h4,(y - 1) ^ 2 = 0,792,793
pair_33135e91,olympiads,a,4,hy,y - 1 = 0,794,795
pair_33135e91,olympiads,a,5,hy',y = 1,796,797
pair_33135e91,olympiads,a,6,h5,x - 2 * y = 0,798,799
pair_33135e91,olympiads,a,7,hx,x = 2,800,801
pair_3395ed90,olympiads,h,0,hm_lb,0 < m,802,803
pair_3395ed90,olympiads,h,1,hn_lb,0 < n,804,805
pair_3395ed90,olympiads,h,2,h₁,10 * a + 2 * b + 1 ≤ 3 * a + 8 * b + 2,806,807
pair_3395ed90,olympiads,h,3,h₂,2 * a + 7 * b + 3 ≤ 8 * a + b + 3,808,809
pair_3395ed90,olympiads,a,0,hm_eq,(3 * a + 8 * b + 2 : ℚ) = (m : ℚ) * (10 * a + 2 * b + 1 : ℚ),810,811
pair_3395ed90,olympiads,a,1,hn_eq,(8 * a + b + 3 : ℚ) = (n : ℚ) * (2 * a + 7 * b + 3 : ℚ),812,813
pair_3395ed90,olympiads,a,2,h1,(3 * a + 8 * b + 2) = m * (10 * a + 2 * b + 1),814,815
pair_3395ed90,olympiads,a,3,h2,(8 * a + b + 3) = n * (2 * a + 7 * b + 3),816,817
pair_3395ed90,olympiads,a,4,h3,m ≤ 3,818,819
pair_3395ed90,olympiads,a,5,h4,n ≤ 8,820,821
pair_340b28b7,olympiads_ref,h,0,eq,5 * (b*b) + (5*a-14)*b + (5*a^2 - 7*a) = 0,822,823
pair_340b28b7,olympiads_ref,h,1,diseq,(5 * a - 14) ^ 2 - 4 * 5 * (5 * a ^ 2 - 7 * a) = 196 - 75 * a^2,824,825
pair_340b28b7,olympiads_ref,h,2,disnneg,0 ≤ 196 - 75 * a ^ 2,826,827
pair_340b28b7,olympiads_ref,h,3,ale1,a ≤ 1,828,829
pair_340b28b7,olympiads_ref,h,4,agem1,-1≤ a,830,831
pair_340b28b7,olympiads_ref,a,0,h1,a ≤ 10,832,833
pair_340b28b7,olympiads_ref,a,1,h2,a ≥ -10,834,835
pair_340b28b7,olympiads_ref,a,2,h3,b ≤ 10,836,837
pair_340b28b7,olympiads_ref,a,3,h4,b ≥ -10,838,839
pair_359f2631,secondary_math,h,0,h1,a^2 - a * b + b^2 = 1 - 2 * (a * b),840,841
pair_359f2631,secondary_math,h,1,h2,1 / 3 ≤ a^2 - a * b + b^2,842,843
pair_359f2631,secondary_math,h,2,h3,a^2 - a * b + b^2 ≤ 3,844,845
pair_359f2631,secondary_math,a,0,h1,a^2 + b^2 = 1 - a * b,846,847
pair_359f2631,secondary_math,a,1,h2,a * b ≤ (1 / 3),848,849
pair_359f2631,secondary_math,a,2,h3,a * b ≥ -1,850,851
pair_35dc14d4,olympiads,h,0,h5,n < 27,852,853
pair_35dc14d4,olympiads,h,1,h_length,(Nat.digits 3 n).length = 3,854,855
pair_35dc14d4,olympiads,h,2,h_digits,(Nat.digits 3 n).length ≥ 4,856,857
pair_35dc14d4,olympiads,h,3,h1,n ≥ 27,858,859
pair_35dc14d4,olympiads,h,4,h2,Nat.log 3 n ≥ 3,860,861
pair_35dc14d4,olympiads,h,5,h3,3 ^ 3 ≤ n,862,863
pair_35dc14d4,olympiads,h,6,h4,(Nat.digits 3 n).length = Nat.log 3 n + 1,864,865
pair_35dc14d4,olympiads,a,0,h6,n < 27,866,867
pair_35dc14d4,olympiads,a,1,h7,(Nat.digits 3 n).length > 3,868,869
pair_35dc14d4,olympiads,a,2,h8,n ≥ 27,870,871
pair_35dc14d4,olympiads,a,3,h9,(Nat.digits 3 n).length = Nat.log 3 n + 1,872,873
pair_35dc14d4,olympiads,a,4,h10,Nat.log 3 n ≥ 3,874,875
pair_35dc14d4,olympiads,a,5,h11,3 ^ 3 ≤ n,876,877
pair_37a1e423,math_test,h,0,eq1,(8 : ℝ) = 2 * 2 ^ 2,878,879
pair_37a1e423,math_test,h,1,eq2,(50 : ℝ) = 2 * 5 ^ 2,880,881
pair_37a1e423,math_test,h,2,eq3,(18 : ℝ) = 2 * 3 ^ 2,882,883
pair_37a1e423,math_test,h,3,eq4,Real.sqrt 8 + Real.sqrt 50 + Real.sqrt 18 = 10 * Real.sqrt 2,884,885
pair_37a1e423,math_test,a,0,h1,Real.sqrt 8 = 2 * Real.sqrt 2,886,887
pair_37a1e423,math_test,a,1,h2,Real.sqrt 50 = 5 * Real.sqrt 2,888,889
pair_37a1e423,math_test,a,2,h3,Real.sqrt 18 = 3 * Real.sqrt 2,890,891
pair_37a1e423,math_test,a,3,h4,Real.sqrt 8 + Real.sqrt 50 + Real.sqrt 18 = 10 * Real.sqrt 2,892,893
pair_37a1e423,math_test,a,4,h5,0 < (2 : ℝ),894,895
pair_37a1e423,math_test,a,5,h6,Real.sqrt 2 > 0,896,897
pair_37a1e423,math_test,a,6,h7,(10 : ℝ) > 0,898,899
pair_37d880cd,number_theory,h,0,h1,n^2 ≡ 1 [MOD 8],900,901
pair_37d880cd,number_theory,h,1,h2,n^2 ≡ 1 [MOD 3],902,903
pair_37d880cd,number_theory,a,0,h2,n % 24 = 1 ∨ n % 24 = 5 ∨ n % 24 = 7 ∨ n % 24 = 11 ∨ n % 24 = 13 ∨ n % 24 = 17 ∨ n % 24 = 19 ∨ n % 24 = 23,904,905
pair_37d880cd,number_theory,a,1,h3,n % 3 ≠ 0,906,907
pair_37d880cd,number_theory,a,2,h4,3 ∣ n,908,909
pair_3821ed1b,math_train,h,0,h₁,(x - 5)^2 + (y + 3)^2 = 0,910,911
pair_3821ed1b,math_train,h,1,h₂,x = 5,912,913
pair_3821ed1b,math_train,h,2,h₃,y = -3,914,915
pair_3821ed1b,math_train,a,0,h1,(x - 5) ^ 2 + (y + 3) ^ 2 = 0,916,917
pair_3821ed1b,math_train,a,1,h2,(x - 5) ^ 2 = 0,918,919
pair_3821ed1b,math_train,a,2,h3,(y + 3) ^ 2 = 0,920,921
pair_3821ed1b,math_train,a,3,h4,x - 5 = 0,922,923
pair_3821ed1b,math_train,a,4,h5,y + 3 = 0,924,925
pair_3821ed1b,math_train,a,5,hx,x = 5,926,927
pair_3821ed1b,math_train,a,6,hy,y = -3,928,929
pair_395840e8,aops_forum,h,0,h1,p^3 ∣ 825,930,931
pair_395840e8,aops_forum,h,1,h2,p ≤ 825,932,933
pair_395840e8,aops_forum,h,2,h3,p^3 ≤ 825,934,935
pair_395840e8,aops_forum,h,3,h4,p^3 ≤ 825,936,937
pair_395840e8,aops_forum,h,4,h6,p^3 > 825,938,939
pair_395840e8,aops_forum,h,5,h7,p ≥ 826,940,941
pair_395840e8,aops_forum,h,6,h8,p^3 ≥ 826^3,942,943
pair_395840e8,aops_forum,a,0,h1,p ≤ 825,944,945
pair_395840e8,aops_forum,a,1,h5,p^3 ≤ 825,946,947
pair_395840e8,aops_forum,a,2,h2,p ≥ 826,948,949
pair_395840e8,aops_forum,a,3,h3,p^3 ≥ 826^3,950,951
pair_395840e8,aops_forum,a,4,h2',p ≥ 826,952,953
pair_3a0c48ab,olympiads,h,0,f_mono,StrictMono f,954,955
pair_3a0c48ab,olympiads,h,1,α_nonzero,α ≠ 0,956,957
pair_3a0c48ab,olympiads,h,2,α_pow_6,α^6 = α * 2 - 1 + α⁻¹ * 2,958,959
pair_3a0c48ab,olympiads,h,3,eq1,α^5 = α^3 - α + 2,960,961
pair_3a0c48ab,olympiads,h,4,eq2,α^6 = α^4 - α^2 + 2 * α,962,963
pair_3a0c48ab,olympiads,h,5,eq3,α^4 = α^2 - 1 + 2 * α ⁻¹,964,965
pair_3a0c48ab,olympiads,h,6,g_mono,StrictMonoOn g (Set.Icc 1 2),966,967
pair_3a0c48ab,olympiads,a,0,h2,α ^ 5 = α ^ 3 - α + 2,968,969
pair_3a0c48ab,olympiads,a,1,hα1,α ≥ 1,970,971
pair_3a0c48ab,olympiads,a,2,hα2,α < 2,972,973
pair_3a0c48ab,olympiads,a,3,h3,3 ≤ α ^ 6,974,975
pair_3a0c48ab,olympiads,a,4,h4,α ^ 6 < 4,976,977
pair_3a20ed0b,number_theory,h,0,pow_2,√5 ^ 2 = 5,978,979
pair_3a20ed0b,number_theory,h,1,pow_3,√5 ^ 3 = 5 * √5,980,981
pair_3a20ed0b,number_theory,h,2,pow_4,√5 ^ 4 = 25,982,983
pair_3a20ed0b,number_theory,a,0,h1,u2 n = (α ^ n - β ^ n) / √5,984,985
pair_3a20ed0b,number_theory,a,1,h2,u2 (n + 1) = (α ^ (n + 1) - β ^ (n + 1)) / √5,986,987
pair_3ae19d99,cn_contest,h,0,sum_eq',"∀ n : ℕ, (sum n : ℚ) = n * (n+1) * (2*n+1) / 6",988,989
pair_3ae19d99,cn_contest,h,1,sum_eq,"∀ n : ℕ, sum n = n * (n+1) * (2*n+1) / 6",990,991
pair_3ae19d99,cn_contest,h,2,H,a ∈ List.range' 3 21,992,993
pair_3ae19d99,cn_contest,a,0,h1,n ≤ 23,994,995
pair_3ae19d99,cn_contest,a,1,h2,m ≤ 70,996,997
pair_3dcb5edd,olympiads,h,0,h1,{n : ℕ | n ∈ Finset.Icc 10 99 ∧ 5 ∣ n ∧ (Nat.digits 10 n).headI > (Nat.digits 10 n).tail.headI} = Finset.filter (fun n => 5 ∣ n ∧ (Nat.digits 10 n).headI > (Nat.digits 10 n).tail.headI) (Finset.Icc 10 99),998,999
pair_3dcb5edd,olympiads,h,1,h2,{n : ℕ | n ∈ Finset.Icc 10 99 ∧ 5 ∣ n ∧ (Nat.digits 10 n).headI < (Nat.digits 10 n).tail.headI} = Finset.filter (fun n => 5 ∣ n ∧ (Nat.digits 10 n).headI < (Nat.digits 10 n).tail.headI) (Finset.Icc 10 99),1000,1001
pair_3dcb5edd,olympiads,a,0,h1,{n : ℕ | n ∈ Finset.Icc 10 99 ∧ 5 ∣ n ∧ (Nat.digits 10 n).headI > (Nat.digits 10 n).tail.headI} = Finset.filter (fun n => 5 ∣ n ∧ (Nat.digits 10 n).headI > (Nat.digits 10 n).tail.headI) (Finset.Icc 10 99),1002,1003
pair_3dcb5edd,olympiads,a,1,h2,{n : ℕ | n ∈ Finset.Icc 10 99 ∧ 5 ∣ n ∧ (Nat.digits 10 n).headI < (Nat.digits 10 n).tail.headI} = Finset.filter (fun n => 5 ∣ n ∧ (Nat.digits 10 n).headI < (Nat.digits 10 n).tail.headI) (Finset.Icc 10 99),1004,1005
pair_3f3158ea,inequalities,h,0,h1,1 + a > 0,1006,1007
pair_3f3158ea,inequalities,h,1,h2,1 + b > 0,1008,1009
pair_3f3158ea,inequalities,h,2,h3,1 + c > 0,1010,1011
pair_3f3158ea,inequalities,h,3,h,(a + b) / (1 + b) + (b + c) / (1 + c) + (c + a) / (1 + a) - 3 ≥ 0,1012,1013
pair_3f3158ea,inequalities,h,4,h4,(a + b) / (1 + b) + (b + c) / (1 + c) + (c + a) / (1 + a) - 3 = ((a + b) * (1 + c) * (1 + a) + (b + c) * (1 + a) * (1 + b) + (c + a) * (1 + b) * (1 + c) - 3 * (1 + a) * (1 + b) * (1 + c)) / ((1 + a) * (1 + b) * (1 + c)),1014,1015
pair_3f3158ea,inequalities,a,0,h1,0 < 1 + a,1016,1017
pair_3f3158ea,inequalities,a,1,h2,0 < 1 + b,1018,1019
pair_3f3158ea,inequalities,a,2,h3,0 < 1 + c,1020,1021
pair_3f3158ea,inequalities,a,3,h4,(a + b) / (1 + b) + (b + c) / (1 + c) + (c + a) / (1 + a) - 3 ≥ 0,1022,1023
pair_3f3158ea,inequalities,a,4,h5,(a + b) / (1 + b) + (b + c) / (1 + c) + (c + a) / (1 + a) - 3 = ( (a + b) * (1 + c) * (1 + a) + (b + c) * (1 + a) * (1 + b) + (c + a) * (1 + b) * (1 + c) - 3 * (1 + a) * (1 + b) * (1 + c) ) / ( (1 + b) * (1 + c) * (1 + a) ),1024,1025
pair_40400f26,math_test,h,0,heq,"{x | 17 ∣ x ∧ x < 1000 ∧ (x + 1) % 8 = 0} = {119,255,391,527,663,799,935}",1026,1027
pair_40400f26,math_test,h,1,h₄,"∃ n, x = 17 * n",1028,1029
pair_40400f26,math_test,h,2,h₅,n % 8 = 7,1030,1031
pair_40400f26,math_test,h,3,h₆,"∃ m, n = 8 * m + 7",1032,1033
pair_40400f26,math_test,h,4,h₇,17 * (8 * m + 7) < 1000,1034,1035
pair_40400f26,math_test,h,5,h₈,m ≤ 6,1036,1037
pair_40400f26,math_test,a,0,h4,y ≥ 936,1038,1039
pair_40400f26,math_test,a,1,h5,y % 8 = 7,1040,1041
pair_409b71b8,cn_k12,h,0,h,(1/2) * (4*x) + (1/2) * (25/x) ≥ (4*x)^(1/2 : ℝ) * (25/x)^(1/2 : ℝ),1042,1043
pair_409b71b8,cn_k12,h,1,h1,4 * x * (25 / x) = 10^2,1044,1045
pair_409b71b8,cn_k12,a,0,h_eq,4 * x + 25 / x = y,1046,1047
pair_409b71b8,cn_k12,a,1,h1,4 * x + 25 / x ≥ 20,1048,1049
pair_409b71b8,cn_k12,a,2,h2,x > 0,1050,1051
pair_409b71b8,cn_k12,a,3,h3,4 * x + 25 / x - 20 ≥ 0,1052,1053
pair_409b71b8,cn_k12,a,4,h4,x > 0,1054,1055
pair_409b71b8,cn_k12,a,5,h5,4 * x + 25 / x - 20 = (4 * x^2 + 25 - 20 * x) / x,1056,1057
pair_409b71b8,cn_k12,a,6,h6,4 * x^2 + 25 - 20 * x ≥ 0,1058,1059
pair_421b9bfa,math_test,h,0,aux,"∑ i in Finset.Icc (-a) a, i = 0",1060,1061
pair_421b9bfa,math_test,h,1,aux1,"26 = ∑ i ∈ Finset.Icc (-25) 26, i",1062,1063
pair_421b9bfa,math_test,h,2,h1,"∑ i ∈ Finset.Icc (-25) a, i ≤ ∑ i ∈ Finset.Icc (-25) b, i → a ≤ b",1064,1065
pair_421b9bfa,math_test,a,0,h,"∑ i in Finset.Icc (-25) n, i ≥ 26",1066,1067
pair_421b9bfa,math_test,a,1,h1,n < 26,1068,1069
pair_421b9bfa,math_test,a,2,h3,n ≤ 25,1070,1071
pair_421b9bfa,math_test,a,3,h4,n ≥ -25,1072,1073
pair_421b9bfa,math_test,a,4,h5,n < -25,1074,1075
pair_421b9bfa,math_test,a,5,h6,Finset.Icc (-25) n = ∅,1076,1077
pair_42350979,olympiads_ref,h,0,peq,p ^ 2 + (5 / 6 - p) ^ 2 + 1 / 36 = 1 / 2,1078,1079
pair_42350979,olympiads_ref,h,1,peq',(p - 2 / 3) * (p - 1 / 6) = 0,1080,1081
pair_42350979,olympiads_ref,h,2,hp,p = 2 / 3 ∨ p = 1 / 6,1082,1083
pair_42350979,olympiads_ref,h,3,aux,(p - 2 / 3) = 0 ∨ (p - 1 / 6) = 0,1084,1085
pair_42350979,olympiads_ref,h,4,qeq,q = 2 / 3,1086,1087
pair_42350979,olympiads_ref,a,0,h3,p * q = 1 / 9,1088,1089
pair_42350979,olympiads_ref,a,1,hsq,(p - q) ^ 2 = 1 / 4,1090,1091
pair_42350979,olympiads_ref,a,2,h7,(p - q) ^ 2 = (p + q) ^ 2 - 4 * (p * q),1092,1093
pair_42350979,olympiads_ref,a,3,h8,p - q ≥ 0,1094,1095
pair_42350979,olympiads_ref,a,4,h9,p - q = 1 / 2,1096,1097
pair_42350979,olympiads_ref,a,5,h10,(p - q) ^ 2 = 1 / 4,1098,1099
pair_42350979,olympiads_ref,a,6,h11,p - q ≥ 0,1100,1101
pair_42f55e69,aops_forum,h,0,h3,(x + y) ^ 2 = 4,1102,1103
pair_42f55e69,aops_forum,h,1,h4,x ^ 2 + y ^ 2 = 2 - 2 * z ^ 2,1104,1105
pair_42f55e69,aops_forum,a,0,h3,y = 2 - x,1106,1107
pair_42f55e69,aops_forum,a,1,h4,(x - 1) ^ 2 + z ^ 2 = 0,1108,1109
pair_42f55e69,aops_forum,a,2,hx1,(x - 1) ^ 2 = 0,1110,1111
pair_42f55e69,aops_forum,a,3,hz1,z ^ 2 = 0,1112,1113
pair_42f55e69,aops_forum,a,4,hx,x - 1 = 0,1114,1115
pair_42f55e69,aops_forum,a,5,hz,z = 0,1116,1117
pair_42f55e69,aops_forum,a,6,hx2,x = 1,1118,1119
pair_42f55e69,aops_forum,a,7,hy2,y = 1,1120,1121
pair_45f0139d,cn_k12,h,0,h1,g (-2) = f (- 2) + 9,1122,1123
